Production,Year,Venue/type,Music,Lyrics,Book,Notes
"Little Shop of Horrors 

+ film (1986)",1982,Broadway,Alan Menken,Howard Ashman,Ashman,"Notable songs: ""Suddenly, Seymour"" and ""Somewhere That's Green""."
Little Tramp,1995,Off-Off-Broadway,David Pomeranz,Pomeranz,Pomeranz and Steven David Horwich,
Little Women,2005,Broadway,Jason Howland,Mindi Dickstein,Allan Knee,"Notable song: ""Astonishing"". Based on the book of the same title by Louisa May Alcott."
Lizard Boy,2015,Seattle Rep,Justin Huertas,Justin Huertas,Justin Huertas,
Lizzie,2009,American,Steven Cheslik-DeMeyer and Alan Stevens Hewitt,Cheslik-DeMeyer and Tim Maner,Maner,"Focuses on the involvement of Lizzie Borden in the axe murders of her father and stepmother, for which she was tried and acquitted, in 1892."
Lock Up Your Daughters,1959,West End,Laurie Johnson,Lionel Bart,Bernard Miles,
London Calling!,1923,West End revue,Noël Coward,Coward,André Charlot,
London Road,2011,Royal National Theatre,Adam Cork,Alecky Blythe,Blythe,
Lone Star Love,2004,Off-Broadway,Jack Herrick,Herrick,John L. Haber and Robert Horn,
Look to the Lilies,1970,Broadway,Jule Styne,Sammy Cahn,Leonard Spigelgass,
Lord of the Dance,1996,Dublin/Touring,Ronan Hardiman,Michael Flatley,—N/a,
The Lord of the Rings,2007,West End,"A. R. Rahman, Värttinä and Christopher Nightingale",Matthew Warchus and Shaun McKenna,Warchus and McKenna,Based on the books by J. R. R. Tolkien.
Lorelei,1974,Broadway,Jule Styne,Betty Comden and Adolph Green,Kenny Solms and Gail Parent,
Loserville,2012,West End,James Bourne and Elliot Davis,Bourne and Davis,,Based on the Son of Dork album Welcome to Loserville.
The Lost Boys,2026,Broadway,The Rescues,The Rescues,David Hornsby and Chris Hoch,Based on the 1987 film of the same name
"Lost in the Stars 

+ film (1974)",1949,Broadway,Kurt Weill,Maxwell Anderson,Anderson,
"Louisiana Purchase 

+ film (1941)",1940,Broadway,Irving Berlin,Berlin,Morrie Ryskind,
Love from Judy,1952,West End,Hugh Martin,Martin and Timothy Gray,Eric Maschwitz and Jean Webster,
"Love, Janis",2001,Off-Broadway revue,Various artists,Various artists,—N/a,
Love Life,1948,Broadway,Kurt Weill,Alan Jay Lerner,Lerner,
Love Never Dies,2010,West End,Andrew Lloyd Webber,Glenn Slater,Ben Elton,Sequel to the Lloyd Webber musical The Phantom of the Opera.
Love Story,2010,West End,Howard Goodall,Goodall and Stephen Clark,Clark,
LoveMusik,2007,Broadway,Kurt Weill,Various artists,Alfred Uhry,
Lucky Guy,2011,Off-Broadway,Willard Beckham,Beckham,Beckham,
Lucky Stiff,1988,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Ahrens,Based on a novel by Mike Butterworth.
Ludwig II,2000,German,Franz Hummel,Stephan Barbarino,Barbarino,
Lust 'n Rust,2001,Off-Off-Broadway,"Frank Haney, Carol Kimball and Dave Stratton","Haney, Kimball and Stratton","Haney, Kimball and Stratton",
Lysistrata Jones,2011,Broadway,Lewis Flinn,Flinn,Douglas Carter Beane,Based on the ancient Greek comedy Lysistrata by Aristophanes.
The Little Big Things (musical),2023,Off-Broadway,Nick Butcher,Nick Butcher and Tom Ling,Joe White,"Based on the Book ""The Little Big Things"" by Henry Fraser."
